[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1679840
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
[noise-floor init] log_noise +0.0000 -> +0.7541  (variance 1.0000 -> 2.6282, realised 4.2577)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=1  global_step=1  loss=1  lr=1.392e-05  wall_s=3.4  traj_s_per_s=7.3  gpu_reserved_gb=19.67  sim_forecast_nll=1.493  npe_loss=8.196  npe_rejected=0  npe_seen_max=16.14
stage=T1_measured_founding  step=20  global_step=20  loss=0.9779  lr=4.618e-05  wall_s=37.4  traj_s_per_s=13.1  gpu_reserved_gb=36.52  sim_forecast_nll=1.419  npe_loss=7.833  npe_rejected=0  npe_seen_max=19.14
stage=T1_measured_founding  step=40  global_step=40  loss=1.023  lr=0.0001306  wall_s=72.3  traj_s_per_s=13.6  gpu_reserved_gb=36.52  sim_forecast_nll=1.482  npe_loss=8.168  npe_rejected=0  npe_seen_max=19.14
stage=T1_measured_founding  step=60  global_step=60  loss=1.015  lr=0.0002342  wall_s=107.4  traj_s_per_s=13.7  gpu_reserved_gb=36.52  sim_forecast_nll=1.473  npe_loss=7.644  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=80  global_step=80  loss=0.9385  lr=0.0003167  wall_s=142.7  traj_s_per_s=13.8  gpu_reserved_gb=36.52  sim_forecast_nll=1.32  npe_loss=7.559  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=100  global_step=100  loss=0.9694  lr=0.000346  wall_s=178.1  traj_s_per_s=13.8  gpu_reserved_gb=36.52  sim_forecast_nll=1.302  npe_loss=8.083  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=120  global_step=120  loss=0.7557  lr=0.000346  wall_s=213.5  traj_s_per_s=13.8  gpu_reserved_gb=36.52  sim_forecast_nll=0.8603  npe_loss=8.256  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=140  global_step=140  loss=0.9235  lr=0.0003458  wall_s=248.9  traj_s_per_s=13.8  gpu_reserved_gb=36.52  sim_forecast_nll=0.934  npe_loss=7.927  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=160  global_step=160  loss=0.9855  lr=0.0003456  wall_s=284.9  traj_s_per_s=13.8  gpu_reserved_gb=36.73  sim_forecast_nll=0.9019  npe_loss=8.063  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=180  global_step=180  loss=0.9316  lr=0.0003453  wall_s=321.1  traj_s_per_s=13.8  gpu_reserved_gb=36.73  sim_forecast_nll=0.7674  npe_loss=8.352  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=200  global_step=200  loss=1.032  lr=0.0003449  wall_s=356.9  traj_s_per_s=13.8  gpu_reserved_gb=36.73  sim_forecast_nll=0.8038  npe_loss=7.931  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=220  global_step=220  loss=1.179  lr=0.0003445  wall_s=392.3  traj_s_per_s=13.8  gpu_reserved_gb=36.81  sim_forecast_nll=0.9249  npe_loss=8.195  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=240  global_step=240  loss=1.058  lr=0.0003439  wall_s=427.9  traj_s_per_s=13.8  gpu_reserved_gb=36.81  sim_forecast_nll=0.7845  npe_loss=7.873  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=260  global_step=260  loss=1.304  lr=0.0003433  wall_s=463.9  traj_s_per_s=13.8  gpu_reserved_gb=36.81  sim_forecast_nll=0.9531  npe_loss=8.071  npe_rejected=0  npe_seen_max=20.47
stage=T1_measured_founding  step=280  global_step=280  loss=1.091  lr=0.0003426  wall_s=500.1  traj_s_per_s=13.8  gpu_reserved_gb=36.81  sim_forecast_nll=0.7766  npe_loss=8.17  npe_rejected=0  npe_seen_max=24.73
stage=T1_measured_founding  step=300  global_step=300  loss=1.343  lr=0.0003418  wall_s=536.4  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.9368  npe_loss=7.969  npe_rejected=0  npe_seen_max=26.63
stage=T1_measured_founding  step=320  global_step=320  loss=1.112  lr=0.0003409  wall_s=572.6  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.794  npe_loss=8.135  npe_rejected=0  npe_seen_max=26.63
stage=T1_measured_founding  step=340  global_step=340  loss=0.8505  lr=0.00034  wall_s=608.9  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.5638  npe_loss=7.748  npe_rejected=0  npe_seen_max=26.63
stage=T1_measured_founding  step=360  global_step=360  loss=0.9516  lr=0.000339  wall_s=644.6  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6248  npe_loss=7.859  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=380  global_step=380  loss=0.9887  lr=0.0003379  wall_s=680.5  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6461  npe_loss=7.941  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=400  global_step=400  loss=1.081  lr=0.0003367  wall_s=716.2  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.7022  npe_loss=8.083  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=420  global_step=420  loss=0.8534  lr=0.0003354  wall_s=752.1  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.5486  npe_loss=8.029  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=440  global_step=440  loss=0.9385  lr=0.0003341  wall_s=788.2  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6166  npe_loss=8.076  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=460  global_step=460  loss=1.245  lr=0.0003326  wall_s=824.2  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.866  npe_loss=8.538  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=480  global_step=480  loss=1.23  lr=0.0003311  wall_s=859.6  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.8811  npe_loss=8.928  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=500  global_step=500  loss=0.9111  lr=0.0003296  wall_s=895.6  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6122  npe_loss=8.239  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=520  global_step=520  loss=0.7979  lr=0.0003279  wall_s=931.7  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.5188  npe_loss=8.54  npe_rejected=0  npe_seen_max=27.44
stage=T1_measured_founding  step=540  global_step=540  loss=0.9916  lr=0.0003262  wall_s=967.7  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.668  npe_loss=8.516  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=560  global_step=560  loss=0.9619  lr=0.0003244  wall_s=1003  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6374  npe_loss=8.351  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=580  global_step=580  loss=0.9612  lr=0.0003225  wall_s=1039  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.6171  npe_loss=8.793  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=600  global_step=600  loss=1.232  lr=0.0003206  wall_s=1074  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.8402  npe_loss=8.222  npe_rejected=0  npe_seen_max=29.15
stage=T1_measured_founding  step=620  global_step=620  loss=0.8546  lr=0.0003185  wall_s=1110  traj_s_per_s=13.7  gpu_reserved_gb=36.81  sim_forecast_nll=0.5562  npe_loss=8.326  npe_rejected=0  npe_seen_max=35.01
