[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1694976
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
resumed from checkpoints/scwbd-001-pilot-families/last.pt at step 250; completed stages: []
[noise-floor init] log_noise +0.7530 -> +1.9557  (variance 2.6251 -> 18.1065, realised 29.8117)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=1  global_step=251  loss=1  lr=1.392e-05  wall_s=3  traj_s_per_s=8.2  gpu_reserved_gb=17.48  sim_forecast_nll=0.7445  npe_loss=0  npe_rejected=1  npe_seen_max=9.525e+08
stage=T1_measured_founding  step=20  global_step=270  loss=1.026  lr=4.618e-05  wall_s=35.6  traj_s_per_s=13.8  gpu_reserved_gb=32.18  sim_forecast_nll=0.741  npe_loss=0  npe_rejected=20  npe_seen_max=1.275e+09
stage=T1_measured_founding  step=40  global_step=290  loss=1.573  lr=0.0001306  wall_s=69  traj_s_per_s=14.2  gpu_reserved_gb=32.26  sim_forecast_nll=0.8744  npe_loss=0  npe_rejected=40  npe_seen_max=2.928e+09
stage=T1_measured_founding  step=60  global_step=310  loss=1.245  lr=0.0002342  wall_s=102.6  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.7671  npe_loss=0  npe_rejected=60  npe_seen_max=2.928e+09
stage=T1_measured_founding  step=80  global_step=330  loss=1.595  lr=0.0003167  wall_s=136.5  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.8242  npe_loss=0  npe_rejected=80  npe_seen_max=2.928e+09
stage=T1_measured_founding  step=100  global_step=350  loss=1.314  lr=0.000346  wall_s=170.7  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.7935  npe_loss=0  npe_rejected=100  npe_seen_max=2.928e+09
stage=T1_measured_founding  step=120  global_step=370  loss=0.9412  lr=0.000346  wall_s=204.7  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.6986  npe_loss=0  npe_rejected=120  npe_seen_max=2.928e+09
stage=T1_measured_founding  step=140  global_step=390  loss=0.6761  lr=0.0003458  wall_s=238.8  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.6243  npe_loss=0  npe_rejected=140  npe_seen_max=3.381e+09
stage=T1_measured_founding  step=160  global_step=410  loss=0.9435  lr=0.0003456  wall_s=272.8  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.667  npe_loss=0  npe_rejected=160  npe_seen_max=3.381e+09
stage=T1_measured_founding  step=180  global_step=430  loss=0.6433  lr=0.0003453  wall_s=307  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.6097  npe_loss=0  npe_rejected=180  npe_seen_max=3.381e+09
stage=T1_measured_founding  step=200  global_step=450  loss=0.5549  lr=0.0003449  wall_s=341.2  traj_s_per_s=14.4  gpu_reserved_gb=32.26  sim_forecast_nll=0.5926  npe_loss=0  npe_rejected=200  npe_seen_max=3.381e+09
stage=T1_measured_founding  step=220  global_step=470  loss=1.748  lr=0.0003445  wall_s=375.5  traj_s_per_s=14.4  gpu_reserved_gb=32.47  sim_forecast_nll=0.8355  npe_loss=0  npe_rejected=220  npe_seen_max=3.381e+09
stage=T1_measured_founding  step=240  global_step=490  loss=1.362  lr=0.0003439  wall_s=409.9  traj_s_per_s=14.4  gpu_reserved_gb=32.47  sim_forecast_nll=0.7464  npe_loss=0  npe_rejected=240  npe_seen_max=3.493e+09
stage=T1_measured_founding  step=260  global_step=510  loss=1.046  lr=0.0003433  wall_s=444.8  traj_s_per_s=14.4  gpu_reserved_gb=32.47  sim_forecast_nll=0.6774  npe_loss=0  npe_rejected=260  npe_seen_max=3.493e+09
stage=T1_measured_founding  step=280  global_step=530  loss=-0.9393  lr=0.0003426  wall_s=479.3  traj_s_per_s=14.4  gpu_reserved_gb=32.47  sim_forecast_nll=0.2678  npe_loss=0  npe_rejected=280  npe_seen_max=3.493e+09
stage=T1_measured_founding  step=300  global_step=550  loss=1.267  lr=0.0003418  wall_s=513.6  traj_s_per_s=14.4  gpu_reserved_gb=32.47  sim_forecast_nll=0.7644  npe_loss=0  npe_rejected=300  npe_seen_max=3.493e+09
stage=T1_measured_founding  step=320  global_step=570  loss=0.8287  lr=0.0003409  wall_s=548  traj_s_per_s=14.4  gpu_reserved_gb=32.47  sim_forecast_nll=0.6351  npe_loss=0  npe_rejected=320  npe_seen_max=4.489e+09
stage=T1_measured_founding  step=340  global_step=590  loss=1.616  lr=0.00034  wall_s=582.4  traj_s_per_s=14.3  gpu_reserved_gb=32.47  sim_forecast_nll=0.7714  npe_loss=0  npe_rejected=340  npe_seen_max=4.489e+09
stage=T1_measured_founding  step=360  global_step=610  loss=1.303  lr=0.000339  wall_s=616.6  traj_s_per_s=14.3  gpu_reserved_gb=32.47  sim_forecast_nll=0.7392  npe_loss=0  npe_rejected=360  npe_seen_max=4.489e+09
stage=T1_measured_founding  step=380  global_step=630  loss=0.5083  lr=0.0003379  wall_s=651.3  traj_s_per_s=14.3  gpu_reserved_gb=32.67  sim_forecast_nll=0.5687  npe_loss=0  npe_rejected=380  npe_seen_max=4.489e+09
stage=T1_measured_founding  step=400  global_step=650  loss=1.254  lr=0.0003367  wall_s=685.8  traj_s_per_s=14.3  gpu_reserved_gb=32.67  sim_forecast_nll=0.6847  npe_loss=0  npe_rejected=400  npe_seen_max=4.489e+09
stage=T1_measured_founding  step=420  global_step=670  loss=0.8107  lr=0.0003354  wall_s=720.6  traj_s_per_s=14.3  gpu_reserved_gb=32.67  sim_forecast_nll=0.62  npe_loss=0  npe_rejected=420  npe_seen_max=4.489e+09
stage=T1_measured_founding  step=440  global_step=690  loss=0.5454  lr=0.0003341  wall_s=755.9  traj_s_per_s=14.3  gpu_reserved_gb=32.67  sim_forecast_nll=0.5689  npe_loss=0  npe_rejected=440  npe_seen_max=4.489e+09
