[mem] CUDA reserve capped at 72.0 GB (fraction=0.592 of 121.6 GB unified pool)
{
  "parameters": {
    "coupling": 3,
    "msg_proj": 36,
    "msg_readin": 1872,
    "context": 17792,
    "family_local": 1814447,
    "family_residual": 365639,
    "family_readout": 26946,
    "assimilate": 234587,
    "observation": 2073,
    "eeg": 27481,
    "bold": 3312,
    "behaviour": 22342,
    "TOTAL": 2516530
  },
  "posterior": 1679840
}
[leakage] R10 audit PASSED  backend=grouped_splitter  participants train/val/test=44/11/54 of 109
[leakage] GroupedSplitter cross-check ok=True
[leakage] cross-check warning: all records come from one site: this split cannot falsify a site/device shortcut (Appendix D 'Site/device shortcuts')
real EEG: 290673 windows, train/val/test = 117639/29274/143760
[noise-floor init] log_noise +0.0000 -> +0.7541  (variance 1.0000 -> 2.6282, realised 4.2577)

=== Stage T1_measured_founding: 2966 steps, lr=0.000346 ===
stage=T1_measured_founding  step=1  global_step=1  loss=1  lr=1.392e-05  wall_s=3.5  traj_s_per_s=7  gpu_reserved_gb=19.67  sim_forecast_nll=1.493  npe_loss=8.196  npe_rejected=0  npe_seen_max=16.14
stage=T1_measured_founding  step=20  global_step=20  loss=0.9779  lr=4.618e-05  wall_s=40.3  traj_s_per_s=12.2  gpu_reserved_gb=36.52  sim_forecast_nll=1.419  npe_loss=7.834  npe_rejected=0  npe_seen_max=19.05
stage=T1_measured_founding  step=40  global_step=40  loss=1.022  lr=0.0001306  wall_s=77  traj_s_per_s=12.8  gpu_reserved_gb=36.52  sim_forecast_nll=1.481  npe_loss=8.165  npe_rejected=0  npe_seen_max=19.05
stage=T1_measured_founding  step=60  global_step=60  loss=1.006  lr=0.0002342  wall_s=114.3  traj_s_per_s=12.9  gpu_reserved_gb=36.52  sim_forecast_nll=1.455  npe_loss=7.64  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=80  global_step=80  loss=0.9222  lr=0.0003167  wall_s=151.6  traj_s_per_s=13  gpu_reserved_gb=36.52  sim_forecast_nll=1.277  npe_loss=7.567  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=100  global_step=100  loss=0.9552  lr=0.000346  wall_s=190.6  traj_s_per_s=12.9  gpu_reserved_gb=36.52  sim_forecast_nll=1.243  npe_loss=8.071  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=120  global_step=120  loss=0.7579  lr=0.000346  wall_s=228.5  traj_s_per_s=12.9  gpu_reserved_gb=36.52  sim_forecast_nll=0.8273  npe_loss=8.242  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=140  global_step=140  loss=0.968  lr=0.0003458  wall_s=267.2  traj_s_per_s=12.9  gpu_reserved_gb=36.52  sim_forecast_nll=0.9534  npe_loss=7.889  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=160  global_step=160  loss=1.009  lr=0.0003456  wall_s=305.1  traj_s_per_s=12.9  gpu_reserved_gb=36.73  sim_forecast_nll=0.9121  npe_loss=8.057  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=180  global_step=180  loss=0.9453  lr=0.0003453  wall_s=341.7  traj_s_per_s=12.9  gpu_reserved_gb=36.73  sim_forecast_nll=0.7787  npe_loss=8.324  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=200  global_step=200  loss=1.025  lr=0.0003449  wall_s=379.7  traj_s_per_s=12.9  gpu_reserved_gb=36.73  sim_forecast_nll=0.8012  npe_loss=7.922  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=220  global_step=220  loss=1.032  lr=0.0003445  wall_s=418.6  traj_s_per_s=12.9  gpu_reserved_gb=36.81  sim_forecast_nll=0.792  npe_loss=8.173  npe_rejected=0  npe_seen_max=20.33
stage=T1_measured_founding  step=240  global_step=240  loss=1.049  lr=0.0003439  wall_s=455.3  traj_s_per_s=13  gpu_reserved_gb=36.81  sim_forecast_nll=0.7829  npe_loss=7.796  npe_rejected=0  npe_seen_max=20.33
